% Model:              Sample_ExBprobe_.mph
% Version:            COMSOL 6.3.0.290
% Date:               Mar 17 2026, 17:05
% Dimension:          3
% Nodes:              24321
% Expressions:        6
% Description:        x-coordinate, y-coordinate, z-coordinate, Magnetic flux density, x-component, Magnetic flux density, y-component, Magnetic flux density, z-component
% Length unit:        m
% x (m),y (m),z (m),mfnc.Bx (T),mfnc.By (T),mfnc.Bz (T)
-2.7105E-20,0.0030000,-0.10000,-0.0058500,-1.1745E-5,1.0458E-6
0.0010000,0.0030000,-0.10000,-0.0054857,5.4110E-4,-1.3485E-5
0.0020000,0.0030000,-0.10000,-0.0049921,7.2716E-4,3.4020E-5
0.0030000,0.0030000,-0.10000,-0.0046241,5.7765E-4,1.5164E-5
0.0040000,0.0030000,-0.10000,-0.0045230,4.0542E-4,5.3130E-5
0.0050000,0.0030000,-0.10000,-0.0044330,3.0582E-4,5.8842E-5
-0.0050000,0.0040000,-0.10000,-0.0045321,-2.8671E-4,-9.0770E-5
-0.0040000,0.0040000,-0.10000,-0.0046082,-3.5507E-4,-3.2015E-5
-0.0030000,0.0040000,-0.10000,-0.0047522,-4.3007E-4,-2.9796E-5
-0.0020000,0.0040000,-0.10000,-0.0049576,-4.1779E-4,-1.5820E-5
-0.0010000,0.0040000,-0.10000,-0.0051838,-2.9306E-4,-2.1694E-5
7.5856E-20,0.0040000,-0.10000,-0.0053049,-1.4783E-5,-2.4845E-6
0.0010000,0.0040000,-0.10000,-0.0052034,3.1993E-4,1.7048E-5
0.0020000,0.0040000,-0.10000,-0.0049737,4.1933E-4,7.9767E-6
0.0030000,0.0040000,-0.10000,-0.0047893,4.4108E-4,7.6170E-5
0.0040000,0.0040000,-0.10000,-0.0046138,3.7497E-4,5.0243E-5
0.0050000,0.0040000,-0.10000,-0.0045350,2.9192E-4,9.6020E-5
-0.0050000,0.0050000,-0.10000,-0.0045295,-3.0292E-4,-3.9115E-5
-0.0040000,0.0050000,-0.10000,-0.0046512,-2.9609E-4,-4.9284E-5
-0.0030000,0.0050000,-0.10000,-0.0047912,-2.9225E-4,-4.4222E-5
-0.0020000,0.0050000,-0.10000,-0.0049061,-2.5476E-4,-3.0972E-5
-0.0010000,0.0050000,-0.10000,-0.0050210,-1.7090E-4,-1.4524E-5
2.7105E-19,0.0050000,-0.10000,-0.0050740,-5.7114E-7,-5.3630E-6
0.0010000,0.0050000,-0.10000,-0.0050211,1.6313E-4,9.2232E-6
0.0020000,0.0050000,-0.10000,-0.0049155,2.7246E-4,2.1080E-5
0.0030000,0.0050000,-0.10000,-0.0047646,3.0490E-4,3.0468E-5
0.0040000,0.0050000,-0.10000,-0.0046617,3.0671E-4,5.4626E-5
0.0050000,0.0050000,-0.10000,-0.0045352,2.9184E-4,3.5779E-5
-0.0050000,-0.0050000,-0.099000,-5.3614E-6,3.0873E-7,2.8830E-6
-0.0040000,-0.0050000,-0.099000,-5.4645E-6,3.5402E-7,2.2127E-6
-0.0030000,-0.0050000,-0.099000,-5.6167E-6,3.5712E-7,1.5981E-6
-0.0020000,-0.0050000,-0.099000,-5.7613E-6,3.1204E-7,1.0234E-6
-0.0010000,-0.0050000,-0.099000,-5.9422E-6,2.0543E-7,4.9134E-7
-4.8052E-20,-0.0050000,-0.099000,-5.9527E-6,-1.1414E-8,2.0307E-8
0.0010000,-0.0050000,-0.099000,-5.9114E-6,-1.8513E-7,-4.9748E-7
0.0020000,-0.0050000,-0.099000,-5.7622E-6,-2.8215E-7,-1.0496E-6
0.0030000,-0.0050000,-0.099000,-5.6130E-6,-3.7917E-7,-1.6017E-6
0.0040000,-0.0050000,-0.099000,-5.4694E-6,-3.6505E-7,-2.2240E-6
0.0050000,-0.0050000,-0.099000,-5.3503E-6,-3.1248E-7,-2.8579E-6
-0.0050000,-0.0040000,-0.099000,-5.3043E-6,3.5722E-7,2.7856E-6
-0.0040000,-0.0040000,-0.099000,-5.4146E-6,4.3145E-7,2.1126E-6
-0.0030000,-0.0040000,-0.099000,-5.6081E-6,5.1490E-7,1.4740E-6
-0.0020000,-0.0040000,-0.099000,-5.8359E-6,5.3033E-7,8.9260E-7
-0.0010000,-0.0040000,-0.099000,-6.1142E-6,3.0664E-7,4.0755E-7
-8.6221E-20,-0.0040000,-0.099000,-6.2386E-6,-2.1198E-8,1.2522E-8
0.0010000,-0.0040000,-0.099000,-6.1216E-6,-3.3901E-7,-3.7429E-7
0.0020000,-0.0040000,-0.099000,-5.8790E-6,-5.4861E-7,-9.1904E-7
0.0030000,-0.0040000,-0.099000,-5.5624E-6,-5.1438E-7,-1.4503E-6
0.0040000,-0.0040000,-0.099000,-5.4169E-6,-4.1338E-7,-2.1333E-6
0.0050000,-0.0040000,-0.099000,-5.2859E-6,-3.5755E-7,-2.8731E-6
-0.0050000,-0.0030000,-0.099000,-5.2175E-6,3.5919E-7,2.7038E-6
-0.0040000,-0.0030000,-0.099000,-5.2881E-6,4.7809E-7,2.0012E-6
-0.0030000,-0.0030000,-0.099000,-5.4765E-6,6.7667E-7,1.2601E-6
-0.0020000,-0.0030000,-0.099000,-5.8528E-6,8.3547E-7,5.6982E-7
-0.0010000,-0.0030000,-0.099000,-6.4575E-6,6.7943E-7,1.1913E-7
0.0000,-0.0030000,-0.099000,-6.8524E-6,3.2945E-8,-1.4331E-8
0.0010000,-0.0030000,-0.099000,-6.4889E-6,-7.6727E-7,-2.3430E-7
0.0020000,-0.0030000,-0.099000,-5.8276E-6,-8.8230E-7,-5.8891E-7
0.0030000,-0.0030000,-0.099000,-5.4527E-6,-6.6633E-7,-1.2727E-6
0.0040000,-0.0030000,-0.099000,-5.2908E-6,-4.9371E-7,-1.9457E-6
0.0050000,-0.0030000,-0.099000,-5.2158E-6,-3.5083E-7,-2.7112E-6
-0.0050000,-0.0020000,-0.099000,-5.0936E-6,3.0935E-7,2.5486E-6
-0.0040000,-0.0020000,-0.099000,-5.0703E-6,5.0243E-7,1.8287E-6
-0.0030000,-0.0020000,-0.099000,-5.1009E-6,8.3351E-7,8.7827E-7
-0.0020000,-0.0020000,-0.099000,-5.3966E-6,1.5246E-6,-3.4270E-7
-0.0010000,-0.0020000,-0.099000,-6.9332E-6,2.2068E-6,-8.0222E-7
1.6941E-21,-0.0020000,-0.099000,-8.7294E-6,4.6483E-7,3.5026E-7
0.0010000,-0.0020000,-0.099000,-7.1252E-6,-2.1918E-6,9.4520E-7
0.0020000,-0.0020000,-0.099000,-5.3974E-6,-1.6117E-6,1.9826E-7
0.0030000,-0.0020000,-0.099000,-5.1274E-6,-9.1684E-7,-1.0733E-6
0.0040000,-0.0020000,-0.099000,-5.0794E-6,-4.9876E-7,-1.7504E-6
0.0050000,-0.0020000,-0.099000,-5.0960E-6,-3.2775E-7,-2.6319E-6
-0.0050000,-0.0010000,-0.099000,-4.9505E-6,1.8361E-7,2.4707E-6
-0.0040000,-0.0010000,-0.099000,-4.8187E-6,3.4064E-7,1.6059E-6
-0.0030000,-0.0010000,-0.099000,-4.5676E-6,6.9397E-7,5.6334E-7
-0.0020000,-0.0010000,-0.099000,-3.7180E-6,2.2334E-6,-2.1485E-6
-0.0010000,-0.0010000,-0.099000,-8.7231E-6,8.1970E-7,-2.4283E-6
-5.7598E-20,-0.0010000,-0.099000,-9.5352E-6,-1.1049E-8,1.4754E-7
0.0010000,-0.0010000,-0.099000,-8.5728E-6,-6.1615E-7,2.3629E-6
0.0020000,-0.0010000,-0.099000,-3.6192E-6,-2.1046E-6,1.5854E-6
0.0030000,-0.0010000,-0.099000,-4.4868E-6,-7.1152E-7,-5.3154E-7
0.0040000,-0.0010000,-0.099000,-4.8132E-6,-3.5208E-7,-1.5949E-6
0.0050000,-0.0010000,-0.099000,-4.9764E-6,-1.8711E-7,-2.5249E-6
-0.0050000,-1.6263E-19,-0.099000,-4.9179E-6,-1.4524E-9,2.4566E-6
-0.0040000,-6.8487E-21,-0.099000,-4.6805E-6,2.1398E-9,1.5242E-6
-0.0030000,-2.7105E-20,-0.099000,-4.1160E-6,4.0747E-10,-7.4186E-8
-0.0020000,5.5505E-20,-0.099000,-2.2131E-6,-1.8687E-7,-2.3940E-6
-0.0010000,-8.4247E-21,-0.099000,-8.8585E-6,-1.2856E-7,-2.7744E-6
2.7105E-20,2.7105E-20,-0.099000,-9.8349E-6,1.9489E-8,-1.0590E-7
0.0010000,-1.3553E-20,-0.099000,-8.9342E-6,-6.4659E-8,2.7405E-6
0.0020000,-1.5407E-32,-0.099000,-1.6833E-6,1.3606E-8,2.9117E-6
0.0030000,5.4210E-20,-0.099000,-4.5524E-6,-2.3101E-8,-3.6336E-7
0.0040000,-1.2197E-19,-0.099000,-4.6416E-6,1.0185E-8,-1.5017E-6
0.0050000,-1.8129E-19,-0.099000,-4.9030E-6,-2.2901E-8,-2.4389E-6
-0.0050000,0.0010000,-0.099000,-4.9841E-6,-2.0550E-7,2.5113E-6
-0.0040000,0.0010000,-0.099000,-4.8161E-6,-3.4642E-7,1.6646E-6
-0.0030000,0.0010000,-0.099000,-4.5477E-6,-7.4358E-7,3.7976E-7
-0.0020000,0.0010000,-0.099000,-3.6559E-6,-1.6010E-6,-1.7383E-6
-0.0010000,0.0010000,-0.099000,-8.6349E-6,-6.3859E-7,-2.4595E-6
-1.3553E-19,0.0010000,-0.099000,-9.5669E-6,7.0378E-9,3.4486E-8
0.0010000,0.0010000,-0.099000,-8.4858E-6,5.8892E-7,2.4577E-6
0.0020000,0.0010000,-0.099000,-3.6563E-6,2.3028E-6,1.5673E-6
0.0030000,0.0010000,-0.099000,-4.5210E-6,7.4256E-7,-4.6063E-7
0.0040000,0.0010000,-0.099000,-4.8355E-6,3.5408E-7,-1.6048E-6
0.0050000,0.0010000,-0.099000,-4.9637E-6,1.9168E-7,-2.4879E-6
-0.0050000,0.0020000,-0.099000,-5.0865E-6,-3.1477E-7,2.5672E-6
-0.0040000,0.0020000,-0.099000,-5.0784E-6,-5.0502E-7,1.8018E-6
-0.0030000,0.0020000,-0.099000,-5.1337E-6,-9.0599E-7,9.4307E-7
-0.0020000,0.0020000,-0.099000,-5.4581E-6,-1.6460E-6,-3.1133E-7
-0.0010000,0.0020000,-0.099000,-6.9584E-6,-2.1724E-6,-9.5862E-7
4.1909E-19,0.0020000,-0.099000,-8.6208E-6,4.5017E-7,5.8939E-7
0.0010000,0.0020000,-0.099000,-6.5484E-6,2.1976E-6,1.0325E-6
0.0020000,0.0020000,-0.099000,-5.4419E-6,1.8023E-6,3.0110E-7
0.0030000,0.0020000,-0.099000,-5.1289E-6,9.6540E-7,-8.1408E-7
0.0040000,0.0020000,-0.099000,-5.0879E-6,5.2593E-7,-1.8102E-6
0.0050000,0.0020000,-0.099000,-5.0745E-6,3.2207E-7,-2.5437E-6
-0.0050000,0.0030000,-0.099000,-5.2295E-6,-3.8427E-7,2.6978E-6
-0.0040000,0.0030000,-0.099000,-5.2938E-6,-5.1682E-7,2.0048E-6
-0.0030000,0.0030000,-0.099000,-5.4113E-6,-7.4202E-7,1.2509E-6
-0.0020000,0.0030000,-0.099000,-5.8253E-6,-8.7659E-7,5.6881E-7
-0.0010000,0.0030000,-0.099000,-6.4372E-6,-7.2177E-7,2.1977E-7
6.9397E-20,0.0030000,-0.099000,-6.7665E-6,3.9165E-8,-1.5672E-7
0.0010000,0.0030000,-0.099000,-6.3891E-6,7.4291E-7,-2.9472E-8
0.0020000,0.0030000,-0.099000,-5.8168E-6,8.8040E-7,-5.8563E-7
0.0030000,0.0030000,-0.099000,-5.4758E-6,6.7808E-7,-1.2435E-6
0.0040000,0.0030000,-0.099000,-5.2776E-6,4.9074E-7,-1.9477E-6
0.0050000,0.0030000,-0.099000,-5.2154E-6,3.5159E-7,-2.7350E-6
-0.0050000,0.0040000,-0.099000,-5.2796E-6,-3.3675E-7,2.7990E-6
-0.0040000,0.0040000,-0.099000,-5.4097E-6,-4.2121E-7,2.1124E-6
-0.0030000,0.0040000,-0.099000,-5.5759E-6,-5.0531E-7,1.4796E-6
-0.0020000,0.0040000,-0.099000,-5.8249E-6,-5.0888E-7,9.8123E-7
-0.0010000,0.0040000,-0.099000,-6.1384E-6,-3.3071E-7,3.9533E-7
1.8575E-20,0.0040000,-0.099000,-6.2254E-6,-5.1487E-8,1.0066E-8
0.0010000,0.0040000,-0.099000,-6.1158E-6,3.5573E-7,-3.9127E-7
0.0020000,0.0040000,-0.099000,-5.8439E-6,5.0285E-7,-8.7785E-7
0.0030000,0.0040000,-0.099000,-5.6037E-6,5.2134E-7,-1.4683E-6
0.0040000,0.0040000,-0.099000,-5.4658E-6,4.0294E-7,-2.0833E-6
0.0050000,0.0040000,-0.099000,-5.3107E-6,3.6814E-7,-2.8421E-6
-0.0050000,0.0050000,-0.099000,-5.3879E-6,-3.7781E-7,2.9525E-6
-0.0040000,0.0050000,-0.099000,-5.4654E-6,-3.6142E-7,2.2811E-6
-0.0030000,0.0050000,-0.099000,-5.6096E-6,-3.5147E-7,1.6016E-6
-0.0020000,0.0050000,-0.099000,-5.7562E-6,-2.8610E-7,1.0319E-6
-0.0010000,0.0050000,-0.099000,-5.9230E-6,-2.0932E-7,4.8752E-7
-5.4210E-20,0.0050000,-0.099000,-5.9528E-6,8.2211E-10,1.6864E-8
0.0010000,0.0050000,-0.099000,-5.9334E-6,2.0327E-7,-5.1869E-7
0.0020000,0.0050000,-0.099000,-5.7765E-6,3.0120E-7,-1.0691E-6
0.0030000,0.0050000,-0.099000,-5.5943E-6,3.5378E-7,-1.6180E-6
0.0040000,0.0050000,-0.099000,-5.4417E-6,3.5566E-7,-2.2284E-6
0.0050000,0.0050000,-0.099000,-5.3334E-6,3.2060E-7,-2.9303E-6
-0.0050000,-0.0050000,-0.098000,-6.0681E-6,1.5966E-7,2.8639E-6
-0.0040000,-0.0050000,-0.098000,-6.0858E-6,2.7544E-7,2.2424E-6
-0.0030000,-0.0050000,-0.098000,-6.1890E-6,2.9222E-7,1.6436E-6
-0.0020000,-0.0050000,-0.098000,-6.3259E-6,2.4231E-7,1.0597E-6
-0.0010000,-0.0050000,-0.098000,-6.4276E-6,1.3101E-7,5.2633E-7
-1.0842E-19,-0.0050000,-0.098000,-6.4604E-6,-7.8972E-9,-1.7098E-9
0.0010000,-0.0050000,-0.098000,-6.4407E-6,-1.3796E-7,-5.2345E-7
0.0020000,-0.0050000,-0.098000,-6.3367E-6,-2.2368E-7,-1.0939E-6
0.0030000,-0.0050000,-0.098000,-6.2035E-6,-2.6978E-7,-1.6462E-6
0.0040000,-0.0050000,-0.098000,-6.1033E-6,-2.7434E-7,-2.2499E-6
0.0050000,-0.0050000,-0.098000,-6.0411E-6,-2.0548E-7,-2.8676E-6
-0.0050000,-0.0040000,-0.098000,-5.9594E-6,2.6850E-7,2.7898E-6
-0.0040000,-0.0040000,-0.098000,-6.0376E-6,3.4014E-7,2.1696E-6
-0.0030000,-0.0040000,-0.098000,-6.2247E-6,3.5773E-7,1.5531E-6
-0.0020000,-0.0040000,-0.098000,-6.3738E-6,3.4469E-7,9.6597E-7
-0.0010000,-0.0040000,-0.098000,-6.5590E-6,2.2514E-7,4.5967E-7
5.4210E-20,-0.0040000,-0.098000,-6.6451E-6,1.8572E-8,-8.1907E-9
0.0010000,-0.0040000,-0.098000,-6.5411E-6,-2.4286E-7,-4.4353E-7
0.0020000,-0.0040000,-0.098000,-6.4136E-6,-3.5185E-7,-9.5551E-7
0.0030000,-0.0040000,-0.098000,-6.2030E-6,-3.4789E-7,-1.5459E-6
0.0040000,-0.0040000,-0.098000,-6.0275E-6,-3.1395E-7,-2.1401E-6
0.0050000,-0.0040000,-0.098000,-5.9670E-6,-2.5871E-7,-2.7815E-6
-0.0050000,-0.0030000,-0.098000,-5.9038E-6,2.9002E-7,2.7149E-6
-0.0040000,-0.0030000,-0.098000,-5.9649E-6,3.2014E-7,2.0644E-6
-0.0030000,-0.0030000,-0.098000,-6.1326E-6,4.6530E-7,1.3637E-6
-0.0020000,-0.0030000,-0.098000,-6.4374E-6,4.7627E-7,7.5210E-7
-0.0010000,-0.0030000,-0.098000,-6.8640E-6,3.3211E-7,2.7953E-7
1.3553E-20,-0.0030000,-0.098000,-6.8724E-6,-2.1902E-8,-5.5879E-8
0.0010000,-0.0030000,-0.098000,-6.8157E-6,-4.3559E-7,-2.6288E-7
0.0020000,-0.0030000,-0.098000,-6.4645E-6,-5.2029E-7,-7.5434E-7
0.0030000,-0.0030000,-0.098000,-6.1567E-6,-4.8073E-7,-1.3846E-6
0.0040000,-0.0030000,-0.098000,-5.9881E-6,-3.9230E-7,-2.0461E-6
0.0050000,-0.0030000,-0.098000,-5.8950E-6,-2.8677E-7,-2.7266E-6
-0.0050000,-0.0020000,-0.098000,-5.8498E-6,2.6289E-7,2.6881E-6
-0.0040000,-0.0020000,-0.098000,-5.8444E-6,3.5964E-7,1.9225E-6
-0.0030000,-0.0020000,-0.098000,-5.9581E-6,4.5571E-7,1.0862E-6
-0.0020000,-0.0020000,-0.098000,-6.4471E-6,6.5359E-7,2.8199E-7
-0.0010000,-0.0020000,-0.098000,-7.4378E-6,5.9550E-7,-2.4293E-7
2.7105E-20,-0.0020000,-0.098000,-7.3810E-6,-4.6300E-9,-8.1542E-8
0.0010000,-0.0020000,-0.098000,-7.1048E-6,-4.1992E-7,-1.1403E-7
0.0020000,-0.0020000,-0.098000,-6.3263E-6,-6.2356E-7,-2.0684E-7
0.0030000,-0.0020000,-0.098000,-5.9775E-6,-4.9572E-7,-1.1085E-6
0.0040000,-0.0020000,-0.098000,-5.8642E-6,-3.3537E-7,-1.9226E-6
0.0050000,-0.0020000,-0.098000,-5.8094E-6,-2.3225E-7,-2.6495E-6
-0.0050000,-0.0010000,-0.098000,-5.7381E-6,1.3663E-7,2.6110E-6
-0.0040000,-0.0010000,-0.098000,-5.8032E-6,2.2426E-7,1.8010E-6
-0.0030000,-0.0010000,-0.098000,-5.8399E-6,4.0420E-7,7.3247E-7
-0.0020000,-0.0010000,-0.098000,-6.2401E-6,2.0776E-7,-6.7297E-8
-0.0010000,-0.0010000,-0.098000,-7.7008E-6,2.5523E-7,-6.9905E-7
5.2516E-20,-0.0010000,-0.098000,-8.0078E-6,-6.1657E-8,-1.3985E-8
0.0010000,-0.0010000,-0.098000,-7.4425E-6,-3.2763E-7,5.5907E-7
0.0020000,-0.0010000,-0.098000,-6.3903E-6,-5.3705E-7,2.5365E-7
0.0030000,-0.0010000,-0.098000,-5.8920E-6,-4.3140E-7,-7.1679E-7
0.0040000,-0.0010000,-0.098000,-5.8548E-6,-2.8903E-7,-1.8150E-6
0.0050000,-0.0010000,-0.098000,-5.7346E-6,-1.3527E-7,-2.5894E-6
-0.0050000,1.2197E-19,-0.098000,-5.7182E-6,1.0662E-8,2.5806E-6
-0.0040000,1.3553E-19,-0.098000,-5.6565E-6,-1.7554E-8,1.7449E-6
-0.0030000,-8.1315E-20,-0.098000,-5.7959E-6,-1.6629E-8,6.3319E-7
-0.0020000,-1.3553E-20,-0.098000,-6.2744E-6,-1.0414E-7,-5.4616E-7
-0.0010000,-2.7105E-20,-0.098000,-7.6676E-6,-1.1765E-8,-7.7475E-7
2.6893E-20,1.2176E-19,-0.098000,-8.4524E-6,1.1447E-8,-1.2252E-7
0.0010000,0.0000,-0.098000,-7.6335E-6,-1.3185E-8,7.9114E-7
